Country,EwasteKt,CapitaEw
AL,21,7.32
AT,168,18.77
BY,88,9.35
BE,234,20.40
BA,27,7.71
BG,82,11.76
HR,48,11.80
CY,15,17.24
CZ,167,15.75
DK,130,22.32
EE,17,12.89
FI,110,19.84
FR,1362,20.95
DE,1607,19.37
GR,181,16.94
HU,133,13.63
IS,8,22.41
IE,93,18.75
IT,1063,17.50
LV,20,10.37
LT,34,12.38
LU,12,19.45
MT,7,14.80
MD,14,39.53
CS,7,11.20
NL,373,21.64
NO,139,25.95
PL,443,11.67
PT,170,16.55
RO,223,11.42
RU,1631,11.33
SK,70,12.84
SI,31,14.98
ES,888,19.03
SE,208,20.15
CH,201,23.41
TR,847,10.20
UA,324,7.74
GB,1598,23.90
