Type,Year,Value
Small Equipment,2010,100
Small Equipment,2011,108
Small Equipment,2012,117
Small Equipment,2013,126
Small Equipment,2014,131
Small Equipment,2015,140
Small Equipment,2016,145
Small Equipment,2017,150
Small Equipment,2018,158
Small Equipment,2019,163
Small Equipment,2020,170
Large Equipment,2010,100
Large Equipment,2011,106
Large Equipment,2012,111
Large Equipment,2013,118
Large Equipment,2014,122
Large Equipment,2015,130
Large Equipment,2016,133
Large Equipment,2017,140
Large Equipment,2018,145
Large Equipment,2019,141
Large Equipment,2020,149
Temperature Exchange Equipment,2010,100
Temperature Exchange Equipment,2011,110
Temperature Exchange Equipment,2012,120
Temperature Exchange Equipment,2013,129
Temperature Exchange Equipment,2014,139
Temperature Exchange Equipment,2015,149
Temperature Exchange Equipment,2016,159
Temperature Exchange Equipment,2017,170
Temperature Exchange Equipment,2018,180
Temperature Exchange Equipment,2019,190
Temperature Exchange Equipment,2020,198
Small IT,2010,100
Small IT,2011,101
Small IT,2012,106
Small IT,2013,108
Small IT,2014,109
Small IT,2015,111
Small IT,2016,113
Small IT,2017,114
Small IT,2018,119
Small IT,2019,120
Small IT,2020,122
Screens,2010,100
Screens,2011,109
Screens,2012,112
Screens,2013,118
Screens,2014,119
Screens,2015,120
Screens,2016,118
Screens,2017,116
Screens,2018,111
Screens,2019,108
Screens,2020,102
Lamps,2010,100
Lamps,2011,107
Lamps,2012,112
Lamps,2013,119
Lamps,2014,121
Lamps,2015,124
Lamps,2016,127
Lamps,2017,128
Lamps,2018,129
Lamps,2019,130
Lamps,2020,131
